word,index,count
1,0,95
10,1,77
까지의,2,31
모든,3,14
수,4,24
출력,5,67
한다,6,66
수의,7,2
합,8,31
더한,9,22
값,10,35
누적,11,39
해,12,3
모두,13,4
씩,14,9
증가,15,9
하는,16,5
하여,17,35
합산,18,3
1~10,19,1
반복,20,26
한,21,28
구,22,2
뒤,23,2
결과,24,16
하며,25,3
변수,26,8
담아,27,2
하기,28,2
할당,29,3
계산,30,15
까,31,1
범위,32,1
는,33,1
까지로,34,1
설정,35,1
하고,36,4
된,37,2
하세요,38,8
의,39,2
을,40,1
더하여,41,3
합니다,42,1
`,43,12
a,44,6
선언,45,3
대입,46,2
후,47,2
정수,48,3
합계,49,3
숫자,50,5
더한다,51,4
커지는,52,1
100,53,6
계속,54,1
커지면서,55,1
곱,56,2
다,57,4
보여준다,58,2
11,59,4
해서,60,1
뺀,61,1
:,62,7
구한,63,2
입력,64,3
받은,65,3
나이,66,3
35,67,3
할,68,1
한단,69,1
계석,70,1
